Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Condition,Selling Price,SKU,Image 1,Image 2
Trading Card Games,Pokémon Cards,Rocket Charmander 50/82,,1,Buy it Now,2,0-1 oz,Near Mint,9.59,,,
Trading Card Games,Pokémon Cards,Wartortle 42/102,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Drowzee,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Charmander 46/102 ,,3,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Charmeleon 24/102,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Squirtle 63/102,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Bulbasaur44/102,,3,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Ivysaur 30/102,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Wartortle 46/82,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Dratini 53/82,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Dragonair 33/82,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards, Jynx 31/102,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Rattata 61/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Raticate 40/102,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Slowpoke 67/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Diglett 52/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Jynx Neo 31/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Koffing 58/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Ekans 56/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Jungle Butterfree 33/64,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Jungle Clefable Rare 17/64,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Kadabra 32/102,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Magnemite 53/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Vulpix 68/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Arcanine 23/102,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Growlithe 28/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Diglet 47/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Dugtro Rare 19/102,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Gastly 50/102,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Haunter 29/102,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Dratini 26/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Oddish Jungle 58/64,,3,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Gloom Jungle 37/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Vileplume rare non holo 31/64,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Abra 43/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Kadabra 32/102,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Porygon 48/82,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rocket Magicarp 47/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Machop 52/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Magicarp 35/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Jungle Pikachu 60/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Politoed Rare Neo Discovery Played Condition,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Arbok Rare 19/82,,1,Buy it Now,2,0-1 oz,Heavily Played,,,,
Trading Card Games,Pokémon Cards,Dark Golbat Rare 24/82,,1,Buy it Now,2,0-1 oz,Light Played,,,,
Trading Card Games,Pokémon Cards,Giovannis Meowth 74/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Lt Surge's Rattata 85/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Giovannis Nidoran 76/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Giovannis Nidorino 45/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Rattata 1st edition 66/82,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Raticate 51/82 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Paras 59/64 jungle,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Parasect Jungle 41/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dark Omanyte 37/105,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Mantine Neo 64/111,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Seel Neo 81/105,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Corsola Neo 37/75,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Set Staryu 65/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Base Set Starmie 64/102,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Slumga Neo 53/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dewgong base,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Unknown Neo 50/75,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Tangela base set 66/102,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Koffing base 51/102,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,farfetch'd base 27/102,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Poliwag base set 59/102,,3,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Poliwhirl base set 38/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Gastly Fossil 33/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Kabuto Fossil 50/62 ,,3,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Sandslash fossil 41/62 ,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Shelder fossil 54/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Psyduck fossil 53/62 ,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Golduck Fossil 35/62 ,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Seadra Fossil 42/62 ,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Golbat Fossil 34/62 ,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,zubat  fossil 57/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,omanyte  fossil 52/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Omastar Fossil 40/62 ,,3,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,tauros fossil 47/64,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Arbok fossil 31/62,,3,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Ekans Fossil 46/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Slowbro fossil 43/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,slowpoke fossil 55/62 ,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Ponyta base 60/102,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rapidash jungle 44/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Magmar fossil 39/62,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Magmar base 36/102,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Golem fossil 36/62 ,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,geodude 47/62 graveler 37/62 & golem 36/62  fossil,,1,Buy it Now,,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Weezing fossil 45/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,krabby 1st edition fossil 51/62,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,kingler fossil 38/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Tentacruel fossil 44/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Tentacool Fossil 56/62 ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Rhydon jungle 45/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Ryhorn Jungle 61/64,,2,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,lickitung jungle 38/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,venonat jungle 63/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Mankey jungle 55/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Primeape jungle 43/64,,3,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Eevee Jungle 51/64,,4,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Dodrio jungle 34/64,,2,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,bellsprout jungle 49/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,weepinbell jungle 48/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Goldeen Jungle 53/64,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Seaking jungle 46/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,jigglypuff jungle 54/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Exeggutor jungle 35/64,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
